Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MDLZ,"Mondelez Intl Inc",55.05,0.4,+0.73%,55.22,54.59,4682107,"16:12 ET"
MELI,"Mercadolibre Inc",616,-19.59,-3.08%,635.59,609.41,619291,"16:11 ET"
MNST,"Monster Beverage Cp",61.33,0.73,+1.20%,62.13,60.81,3727044,"16:11 ET"
MSFT,"Microsoft Corp",132.45,0.13,+0.10%,133.79,131.64,17392451,"16:19 ET"
MU,"Micron Technology",32.66,-0.72,-2.16%,32.84,32.24,19117725,"16:19 ET"
MXIM,"Maxim Integrated",56.05,-1.85,-3.20%,56.6,55.82,2109459,"16:01 ET"
MYL,"Mylan NV Ord Shs",17.02,-0.36,-2.07%,17.51,16.91,4316524,"16:15 ET"
NFLX,"Netflix Inc",339.73,-3.7,-1.08%,343.4,336.15,4979689,"16:19 ET"
NTAP,"Netapp Inc",60.98,-1.18,-1.90%,61.9,60.76,1955965,"16:07 ET"
NTES,"Netease Inc Ads",265.94,-1.44,-0.54%,267.39,264.24,960838,"16:10 ET"
NVDA,"Nvidia Corp",144.64,-3.62,-2.44%,145.49,142.84,9700154,"16:19 ET"
NXPI,"Nxp Semiconductors",90.89,-3.55,-3.76%,92.99,90.88,3686065,"16:15 ET"
ORLY,"O'Reilly Automotive",387.96,0.39,+0.10%,390.1,386.17,443388,"16:13 ET"
PAYX,"Paychex Inc",86.68,-0.25,-0.29%,87.05,86.55,1241001,"16:01 ET"
PCAR,"Paccar Inc",70.02,0.05,+0.07%,70.29,69.22,830426,"16:01 ET"
PEP,"Pepsico Inc",132.73,-0.21,-0.16%,133.54,132.55,3107758,"16:07 ET"
PYPL,"Paypal Holdings",116.17,0.45,+0.39%,116.73,115.27,4194848,"16:19 ET"
QCOM,"Qualcomm Inc",68.72,-1.21,-1.73%,69.12,67.9,11600271,"16:19 ET"
REGN,"Regeneron Pharmaceuticals",305.24,-2.18,-0.71%,315.2,304,615174,"16:07 ET"
ROST,"Ross Stores Inc",100.97,0.43,+0.43%,101.68,100.43,2546543,"16:10 ET"
SBUX,"Starbucks Corp",84.24,0.89,+1.07%,84.61,83.39,9136730,"16:18 ET"
SIRI,"Sirius XM Holdings",5.56,-0.02,-0.36%,5.6,5.53,18069877,"16:19 ET"
SNPS,"Synopsys Inc",124.8,-1.18,-0.94%,126.14,123.4,904682,"16:10 ET"
SWKS,"Skyworks Solutions",71.8,-1.55,-2.11%,72.27,70.31,1985410,"16:15 ET"
SYMC,"Symantec Corp",19.36,-0.22,-1.12%,19.56,19.11,5269359,"16:10 ET"
TMUS,"T-Mobile US",74.9,0.45,+0.60%,78,74.28,4756064,"16:19 ET"
TSLA,"Tesla Inc",214.92,1.01,+0.47%,216.65,210.4,7348083,"16:19 ET"
TTWO,"Take-Two Interacti",110.36,-0.36,-0.33%,110.77,108.92,1072242,"16:13 ET"
TXN,"Texas Instruments",107.31,-3.87,-3.48%,109.05,106.8,6134916,"16:19 ET"
UAL,"United Continental Holdings",87.12,0.01,+0.01%,87.91,86.01,1627089,"16:10 ET"
ULTA,"Ulta Beauty Inc",354.62,4.81,+1.38%,355.61,349.18,897521,"16:13 ET"
VRSK,"Verisk Analytics Inc",145.83,0.49,+0.34%,146.18,144.88,891852,"16:01 ET"
VRSN,"Verisign Inc",205.2,-0.17,-0.08%,206.52,205.04,544962,"16:10 ET"
VRTX,"Vertex Pharmaceutic",170.22,1.33,+0.79%,170.99,167.94,797758,"16:11 ET"
WBA,"Walgreens Boots Alliance",52.57,-0.32,-0.61%,53.05,52.13,3191335,"16:12 ET"
WDAY,"Workday Inc",208,-0.46,-0.22%,209.9,205.1,1045276,"16:14 ET"
WDC,"Western Digital Cp",36.33,-1.01,-2.70%,36.77,35.9,5474833,"16:17 ET"
WLTW,"Willis Towers Wts",190.33,1.62,+0.86%,190.55,187.73,360849,"16:01 ET"
WYNN,"Wynn Resorts Ltd",115.61,-1.6,-1.37%,116.85,114.64,1476513,"16:19 ET"
XEL,"XCEL Energy Inc",60.03,0.58,+0.98%,60.16,59.33,3150050,"16:07 ET"
XLNX,"Xilinx Inc",105.42,-2.93,-2.70%,106.33,103.63,2955148,"16:12 ET"
"Downloaded from Barchart.com as of 06-14-2019 03:48pm CDT"
