Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
POWL,"Powell Inds Inc",36.22,0.33,+0.92%,36.41,35.16,61879,"16:03 ET"
PPBI,"Pacific Premier Bncp",29.98,0.36,+1.22%,30.17,29.77,413256,"16:06 ET"
PRA,"Pro-Assurance Corp",38,0.31,+0.82%,38.13,37.66,230053,"16:02 ET"
PRAA,"Pra Group Inc",29.79,0.28,+0.95%,30.07,29.31,93964,"16:01 ET"
PRFT,"Perficient Inc",32.28,0.7,+2.22%,32.4,31.62,302865,"16:01 ET"
PRGS,"Progress Software",41.65,-0.07,-0.17%,42.4,41.43,222964,"16:05 ET"
PRLB,"Proto Labs Inc",106.99,2.5,+2.39%,107.07,104.36,142465,"16:02 ET"
PRSC,"Providence Svc Cp",64.92,-0.54,-0.82%,65.5,64.56,63482,"16:07 ET"
PUMP,"Propetro Holding Corp",18.47,0.16,+0.87%,18.81,18.02,1375929,"16:03 ET"
PVAC,"Penn VA Corp",29.32,1.46,+5.24%,29.43,28.21,129695,"16:01 ET"
QLYS,"Qualys Inc",87.14,-0.09,-0.10%,88.22,86.79,210901,"16:07 ET"
QNST,"Quinstreet Inc",16.53,0.44,+2.73%,16.57,15.95,511307,"16:03 ET"
RAVN,"Raven Industries Inc",35.05,0.73,+2.13%,35.12,34.3,84456,"16:01 ET"
RCII,"Rent-A-Center Inc",25.78,0.53,+2.10%,25.96,25.3,957818,"16:13 ET"
RECN,"Resources Connect",16,0.21,+1.33%,16,15.73,45139,"16:01 ET"
REGI,"Renewable Energy",14.01,0.47,+3.47%,14.03,13.4,574193,"16:09 ET"
REI,"Ring Energy Inc",3.43,0.09,+2.69%,3.54,3.31,905055,"16:10 ET"
REX,"Rex American Resources Corp",70.79,3.45,+5.12%,71.12,68.26,50355,"16:02 ET"
RGEN,"Repligen Cp",74.98,-1.1,-1.45%,77.05,74.57,237532,"16:01 ET"
RGNX,"Regenxbio Inc",49.43,2.58,+5.51%,50.02,46.89,391831,"16:07 ET"
RGR,"Sturm Ruger & Company",52.48,0.66,+1.27%,52.83,51.69,131902,"16:02 ET"
RGS,"Regis Corp",19.28,0.1,+0.52%,19.51,18.93,197795,"16:02 ET"
RH,"Restoration Hardware Holdings",109.91,15.02,+15.83%,121.75,109.71,8767394,"16:08 ET"
RLI,"Rli Corp",89.02,1.23,+1.40%,89.13,87.62,135256,"16:02 ET"
RMAX,"Re/Max Holdings Inc",32.47,0.42,+1.31%,32.72,31.95,189791,"16:02 ET"
RMBS,"Rambus Inc",11.9,0.16,+1.36%,11.92,11.75,333530,"16:03 ET"
ROCK,"Gibraltar Ind Inc",38.52,0.26,+0.68%,38.72,38.15,91430,"16:01 ET"
ROG,"Rogers Corp",157.66,3.33,+2.16%,157.76,154.44,143532,"16:03 ET"
ROIC,"Retail Opp Invts Cp",17.17,0.21,+1.24%,17.21,16.96,669693,"16:01 ET"
RPT,"Ramco-Gershenson Properties Trust",12.68,0.12,+0.96%,12.69,12.51,567290,"16:02 ET"
RRD,"Donnelley [R.R.] & Sons CO",2.18,-0.04,-1.80%,2.31,2.15,2429100,"16:03 ET"
RRGB,"Red Robin Gourm",33.48,8.02,+31.50%,33.77,31.1,5192844,"16:09 ET"
RTEC,"Rudolph Technologies",24.34,0,0.00%,24.74,24.21,107661,"16:03 ET"
RUTH,"Ruth's Hospitality",22.87,0.18,+0.79%,23.08,22.81,90249,"16:01 ET"
RWT,"Redwood Trust",15.91,0.1,+0.63%,15.94,15.83,318693,"16:02 ET"
RYAM,"Rayonier Advanced Materials Inc",6.8,0.11,+1.64%,6.83,6.59,658402,"16:03 ET"
SAFT,"Safety Ins Group Inc",94.78,1.02,+1.09%,94.82,93.85,27917,"16:01 ET"
SAH,"Sonic Automotive",23.38,-0.030000000000001,-0.13%,23.72,23.06,198690,"16:13 ET"
SAIA,"Saia Inc",61.8,1.08,+1.78%,62.41,60.5,142631,"16:01 ET"
SANM,"Sanmina Corp",28.86,0.38,+1.33%,28.95,28.36,230364,"16:07 ET"
SBCF,"Seacoast Banking Cp",24.25,0.22,+0.92%,24.44,24.07,153237,"16:01 ET"
SBSI,"Southside Bancshares",32.97,-0.14,-0.42%,33.33,32.82,76958,"16:07 ET"
SCHL,"Scholastic Cp",32.63,-0.37,-1.12%,33.13,32.4,113637,"16:01 ET"
SCL,"Stepan Company",92.63,-0.19,-0.20%,93.79,92.07,79323,"16:03 ET"
SCSC,"Scansource Inc",31.48,0.5,+1.61%,31.85,31.2,93736,"16:01 ET"
SCVL,"Shoe Carnival Inc",26.48,0.99,+3.88%,26.71,25.69,354937,"16:13 ET"
SEDG,"Solaredge Tech",57.88,3.06,+5.58%,57.97,55.08,564263,"16:07 ET"
SEM,"Select Medical Holdings Corp",15.15,0.3,+2.02%,15.21,14.93,469212,"16:03 ET"
SENEA,"Seneca Foods Cp A",26.09,0.34,+1.34%,26.13,25.53,13968,"16:03 ET"
SFBS,"Servisfirst Bancs",32.37,-0.04,-0.12%,32.75,32.09,82655,"16:01 ET"
SFLY,"Shutterfly Inc",50.55,-0.010000000000005,-0.02%,50.83,50.35,1622414,"16:13 ET"
SFNC,"Simmons First Natl",23.45,0.11,+0.47%,23.67,23.37,161635,"16:06 ET"
SGH,"Smart Global Holdings Inc",19.12,0.2,+1.06%,19.25,18.77,236262,"16:07 ET"
SHAK,"Shake Shack Inc",68.04,1.63,+2.45%,68.34,66.65,606897,"16:09 ET"
SHOO,"Steven Maddens Ltd",33.18,0.72,+2.22%,33.39,32.34,536470,"16:06 ET"
SIGI,"Selective Ins Group",75.49,0.42,+0.56%,76.04,74.62,188727,"16:03 ET"
SJI,"South Jersey Industries",33.51,1.11,+3.43%,33.52,32.31,848873,"16:02 ET"
SKYW,"Skywest Inc",60.81,1.57,+2.65%,61,59.15,175312,"16:01 ET"
SLCA,"U.S. Silica Holdings Inc",10.06,0.4,+4.14%,10.16,9.37,1847719,"16:09 ET"
SMP,"Standard Motor Products",44.51,0.37,+0.84%,44.57,44.03,37928,"16:02 ET"
SNBR,"Sleep Number Corp",38.07,0.64,+1.71%,38.17,37.36,304020,"16:09 ET"
SPN,"Superior Energy Services",1.48,0.1,+7.25%,1.49,1.32,3655063,"16:01 ET"
SPOK,"Spok Holdings Inc",14.55,0.15,+1.04%,14.72,14.36,83566,"16:03 ET"
SPPI,"Spectrum Pharma Inc",7.65,0.15,+2.00%,7.72,7.52,799560,"16:07 ET"
