Symbol,Name
AAOI,Applied Optoelect
AAON,Aaon Inc
AAT,American Assets Trust
AAWW,Atlas Air Ww
AAXN,Axon Inc
ABAX,Abaxis Inc
ABCB,Ameris Bancorp
ABG,Asbury Automotive Group Inc
ABM,ABM Industries Incorporated
ACET,Aceto Cp
ACLS,Axcelis Tech Inc
ACOR,Acorda Therapeutics
ADC,Agree Realty Corp
ADTN,Adtran Inc
AEGN,Aegion Corp
AEIS,Advanced Energy
AEL,American Equity Investment Life
AFAM,Almost Family Inc
AGYS,Agilysys Inc
AHH,Armada Hoffler Properties Inc
AIN,Albany International Corp
AIR,AAR Corp
AIT,Applied Industrial Technologies
AJRD,Aerojet Rocketdyne Holdings
AKR,Acadia Realty Trust
AKS,AK Steel Holding Corp
ALE,Allete Inc
ALG,Alamo Group
ALGT,Allegiant Travel Com
ALOG,Analogic Cp
AMAG,Amag Pharmaceuticals
AMED,Amedisys Inc
AMN,Amn Healthcare Services Inc
AMPH,Amphastar Pharma
AMSF,Amerisafe Inc
AMWD,Amer Woodmark Cp
ANDE,Andersons Inc
ANF,Abercrombie & Fitch Company
ANGO,Angiodynamics Inc
ANIK,Anika Therapeutics
ANIP,ANI Pharma Inc
APEI,American Pub. Edu.
APOG,Apogee Entrpr Inc
ARCB,Arcbest Corp
ARI,Apollo Commercial Real Estate
AROC,Archrock Inc
ARR,Armour Residential R
ASGN,On Assignment
ASIX,Advansix Inc
ASNA,Ascena Retail Grp
ASTE,Astec Inds Inc
ATNI,Atn International
ATU,Actuant Corp
AVA,Avista Corp
AVAV,Aerovironment Inc
AVD,American Vanguard Corp
AWR,American States Water Company
AXE,Anixter International Inc
AXL,American Axle & Manufacturing
AZZ,Azz Inc
B,Barnes Group
BABY,Natus Medical Inc
BANC,First Pactrust Bancorp
BANR,Banner Corp
BBG,Bill Barrett Corp
BBOX,Black Box Cp
BCC,Boise Cascade L.L.C.
BCOR,Blucora Inc
BCPC,Balchem Cp
BEAT,Biotelemetry Inc
BEL,Belmond Ltd
BELFB,Bel Fuse Inc Cl B
BFS,Saul Centers
BGC,General Cable Corp
BGFV,Big 5 Sporting
BGG,Briggs & Stratton Corp
BGS,B&G Foods Holdings
BH,Biglari Holdings Inc
BHE,Benchmark Electronics
BJRI,Bj's Restaurants Inc
BKE,Buckle Inc
BKMU,Bank Mutual Corp
BKS,Barnes & Noble
BLD,Topbuild Corp
BMI,Badger Meter
BNED,Barnes & Noble Education Inc C
BOBE,Bob Evans Farms
BOFI,Bofi Holding Inc
BPFH,Boston Pvt Finl Hldg
BRC,Brady Corp
BRKL,Brookline Bancorp
BRKS,Brooks Automation
BRS,Bristow Group Inc
BYD,Boyd Gaming Corp
CACI,Caci International
CAL,Caleres Inc
CALM,Cal-Maine Foods In
CAMP,Calamp Corp
CASH,Meta Financial Grp
CATM,Cardtronics Inc
CATO,Cato Corp
CBB,Cincinnati Bell Inc
CBL,Cbl & Associates Properties
CBM,Cambrex Corp
CBU,Community Bank System
CCC,Calgon Carbon Corp
CCMP,Cabot Microelectron
CCOI,Cogent Comm Hldgs
CCRN,Cross Ctry Hlthcr
CDR,Cedar Shopping Centers Inc
CECO,Career Education
CENT,Central Garden
CENTA,Central Garden & Pet
CENX,Century Aluminum C
CEVA,Ceva Inc
CHCO,City Holding Co
CHE,Chemed Inc
CHS,Chico's Fas
CHSP,Chesapeake Lodging Trust
CHUY,Chuy's Holdings Inc
CIR,Circor International
CKH,Seacor Smit Inc
CLD,Cloud Peak Energy Inc
CLDT,Chatham Lodging Trust [Reit]
CLW,Clearwater Paper Corp
CMD,Cantel Medical
CMO,Capstead Mortgage Corp
CMTL,Comtech Telecom Co
CNMD,C O N M E D Cp
CNSL,Consolidated Communications Holdings Inc
COHU,Cohu Inc
COKE,Coca Cola Bot Cons
COLB,Columbia Banking Sys
CORE,Core Mark Holding
CPF,Central Pacific Financial Co
CPLA,Capella Education Co
CPS,Cooper Std Hldg Inc
CPSI,Computer Programs
CRAY,Cray Inc
CROX,Crocs Inc
CRR,Carbo Ceramics
CRVL,Corvel Cp
CRY,Cryolife
CRZO,Carrizo Oil & Gas
CSGS,C S G Sys Intl
CTRE,Caretrust REIT Inc
CTRL,Control4 Corp
CTS,Cts Corp
CUB,Cubic Corp
CUBI,Customers Bancorp
CUDA,Barracuda Networks Inc
CVBF,Cvb Financial Corp
CVCO,Cavco Inds Inc
CVGW,Calavo Growers Inc
CWT,California Water Service Group Holding
CYH,Community Health Systems
CYTK,Cytokinetics
DAKT,Daktronics Inc
DAR,Darling International Inc
DCOM,Dime Community Bncsh
DEL,Deltic Timber Corp
DEPO,Depomed Inc
DFIN,Donnelly Financial Solutions Inc
DGII,Digi Intl Inc
DHX,Dice Holdings
DIN,Dineequity Inc
DIOD,Diodes Inc
DNR,Denbury Resources
DORM,Dorman Products Inc
DPLO,Diplomat Pharmacy Inc
DRH,Diamondrock Hospitality Company
DSPG,D S P Group Inc
DSW,DSW Inc
DXPE,Dxp Enterprise
EBIX,Ebix Inc
EBS,Emergent Biosolutions
ECHO,Echo Global Logistic
ECOL,US Ecology Inc
ECPG,Encore Capital Grp
EE,El Paso Electric Company
EFII,Elec Imaging Inc
EGHT,8X8 Inc
EGL,Engility Holdings Inc
EGOV,Nic Inc
EGP,Eastgroup Properties
EGRX,Eagle Pharmaceutical
EHTH,Ehealth Inc
EIG,Employers Holdings Inc
ELY,Callaway Golf Company
ENSG,The Ensign Group In
ENTA,Enanta Pharmaceutica
ENVA,Enova International Inc
EPAY,Bottomline Tech In
ERA,Era Group Inc
ESE,Esco Technologies Inc
ESIO,Electro Sci Inds
ESND,Essendant Inc
ETH,Ethan Allen Interiors Inc
EVR,Evercore Partners Inc
EXLS,Exlservice Holdings
EXPO,Exponent Inc
EXPR,Express Inc
EXTN,Exterran Corp
EZPW,Ezcorp Inc
FARO,Faro Tech Inc
FBP,First Bancorp
FCF,First Commonwealth Financial Corp
FCFS,First Cash Fin Svcs
FCN,Fti Consulting
FCPT,Four Corners Property Trust In
FELE,Franklin Electric Co
FF,Futurefuel Corp
FFBC,First Finl Bncp [Oh]
FFIN,First Finl Bkshs Inc
FINL,Finish Line Cl A
FIVE,Five Below Inc
FIX,Comfort Systems USA
FLOW,SPX Flow Inc
FMBI,First Midwest Bncp
FN,Fabrinet
FNGN,Financial Engines
FORR,Forrester Resrch
FOSL,Fossil Group
FOXF,Fox Factory Cp
FRAN,Francesca's Holdings
FRED,Fred's Inc
FRGI,Fiesta Restaurant Gp
FSP,Franklin Street Properties
FSS,Federal Signal Corp
FTD,Ftd Companies
FTK,Flotek Industries
FUL,H. B. Fuller Company
FWRD,Foward Air Corp
GBCI,Glacier Bancorp Inc
GBX,Greenbrier Companies
GCI,Gannett Co. Inc
GCO,Genesco Inc
GDOT,Green Dot Corp
GEOS,Geospace Technologie
GES,Guess Inc
GFF,Griffon Corp
GHL,Greenhill & Co. Inc
GIFI,Gulf Island Fab
GIII,G-III Apparel Gp I
GIMO,Gigamon Inc
GLT,Glatfelter
GNCMA,Gen Communication
GOV,Government Properties Income Trust
GPI,Group 1 Automotive
GPRE,Green Plains Inc
GTLS,Chart Industries In
GTY,Getty Realty Corp
GWB,Great Western Bancorp Inc
HA,Hawaiian Hldgs Inc
HAE,Haemonetics Corp
HAFC,Hanmi Financial Cp
HAYN,Haynes Intl Inc
HCI,Homeowners Choice
HCSG,Healthcare Svcs Gp
HF,HFF Inc
HI,Hillenbrand Inc
HIBB,Hibbett Sports Inc
HLIT,Harmonic Inc
HLX,Helix Energy Solutions Group
HMN,Horace Mann Educators Corp
HMST,Homestreet Inc
HMSY,Hms Hldgs Cp
HOPE,Hope Bancorp Inc
HQY,Healthequity
HSC,Harsco Corp
HSII,Heidrick & Struggl
HSKA,Heska Corp
HSTM,Healthstream Inc
HT,Hersha Hospitality Trust
HTLD,Heartland Express
HUBG,Hub Group Inc A
HVT,Haverty Furniture Companies
HWKN,Hawkins Inc
HZO,Marinemax Inc
IART,Integra Lifesciences
IBKR,Interactive Brokers
IBP,Installed Building Products I
ICON,Iconix Brand Group
ICUI,I C U Medical Inc
IIIN,Insteel Industries
IIVI,I I V I Inc
INDB,Independent Bk Corp
INGN,Inogen Inc
INN,Summit Hotel Properties
INTL,Intl Fcstone Inc
INVA,Innoviva Inc
IOSP,Innospec Inc
IPAR,Inter Parfums Inc
IPCC,Infinity Property
IPHS,Innophos Hldngs Inc
IPXL,Impax Labs Inc
IRBT,Irobot Corp
IRDM,Iridium Comm Inc
IRT,Independence Realty Trust Inc
ITG,Investment Technology Group
ITGR,Integer Holdings Corp
ITRI,Itron Inc
IVC,Invacare Corp
JBSS,John B Sanfilippo
JBT,John Bean Technologies Corp
JCP,J.C. Penney Company Inc
JJSF,J J Snack Foods
KALU,Kaiser Aluminum
KAMN,Kaman Corp
KELYA,Kelly Svcs Cl A
KEM,Kemet Corp
KFY,Korn/Ferry International
KIRK,Kirkland's Inc
KLIC,Kulicke and Soffa
KND,Kindred Healthcare
KOP,Koppers Holdings Inc
KOPN,Kopin Cp
KRA,Kraton Performance Polymers Inc
KRG,Kite Realty Group Trust
KS,Kapstone Paper and Packaging Corp
KWR,Quaker Chemical Corp
LABL,Multi Color Cp
LAD,Lithia Motors
LCI,Lannett Co Inc
LCII,Lci Industries
LDL,Lydall Inc
LGIH,LGI Homes Inc
LGND,Ligand Pharm
LHCG,LHC Group Inc
LION,Fidelity Southern Cp
LITE,Lumentum Hld
LKSD,Lsc Communications Inc
LL,Lumber Liquidators Holdings Inc
LMAT,Lemaitre Vascular
LMNX,Luminex Corp
LMOS,Lumos Networks Corp
LNN,Lindsay Corp
LNTH,Lantheus Holdings
LOCO,El Pollo Loco
LPSN,Liveperson Inc
LQDT,Liquidity Services
LTC,Ltc Properties
LTXB,Legacytexas Fnl
LXP,Lexington Realty Trust
LXU,Lsb Industries Inc
LZB,La-Z-Boy Inc
MANT,Mantech Intl Cp A
MATW,Matthews Intl Corp
MATX,Matson Inc
MCF,Contango Oil & Gas Company
MCRI,Monarch Casino
MCS,Marcus Corp
MDC,M.D.C. Holdings
MDCO,Medicines Co
MDR,McDermott International
MDXG,Mimedx Group Inc
MED,Medifast Inc
MEI,Methode Electronics
MGLN,Magellan Health
MHLD,Maiden Holdings Ltd
MHO,M/I Homes
MINI,Mobile Mini Inc
MKSI,Mks Instruments Inc
MLI,Mueller Industries
MMSI,Merit Medical Sys
MNRO,Monro Muffler Brak
MNTA,Momenta Pharma
MOG.A,Moog Inc
MOV,Movado Group Inc
MPAA,Motorcar Parts Amer
MRCY,Mercury Sys Inc
MRTN,Marten Transport L
MSTR,Microstrategy Cl A
MTH,Meritage Corp
MTRN,Materion Corp
MTRX,Matrix Service Co
MTSC,M T S Systems Cp
MXL,Maxlinear Inc
MYE,Myers Industries
MYGN,Myriad Genetics Inc
MYRG,MYR Group Inc
NANO,Nanometrics Inc
NAVG,Navigators Grp Inc
NBHC,National Bank Holdings Corp
NBTB,NBT Bancorp Inc
NCI,Navigant Consulting
NE,Noble Corp
NEOG,Neogen Cp
NEWM,New Media Investment Group Inc
NFBK,Northfield Bncrp Del
NGVT,Ingevity Corp
NKTR,Nektar Therapeutics
NLS,Nautilus Group
NMIH,Nmi Holdings Cmn A
NP,Neenah Paper
NPK,National Presto Industries
NPO,Enpro Industries
NR,Newpark Resources
NSA,National Storage Affiliates Tru
NSIT,Insight Enterpr
NSP,Insperity Inc
NTGR,Netgear Inc
NTRI,Nutrisystem Inc
NWBI,Northwest Bancshares
NWN,Northwest Natural Gas Company
NX,Quanex Building Products Corp
OCLR,Oclaro Inc
OFG,Oriental Financial Group
OFIX,Orthofix Intl Nv
OIS,Oil States International
OLLI,Ollies Bargain CS
OMCL,Omnicell Inc
ONB,Old National Bncp
OPB,Opus Bank
ORIT,Oritani Financial
ORN,Orion Group Holdings Inc
OSIS,O S I Systems Inc
OSUR,Orasure Tech Inc
OXM,Oxford Industries
PAHC,Phibro Anl Htlh A
PARR,Par Petroleum Corp
PATK,Patrick Inds Inc
PDCE,Pdc Energy Inc
PEI,Pennsylvania Real Estate Investment
PENN,Penn Natl Gaming Inc
PERY,Perry Ellis Int
PES,Pioneer Energy Services Corp
PETS,Petmed Express Inc
PFS,Provident Financial Services
PGNX,Progenics Pharmaceut
PGTI,Pgt Inc
PJC,Piper Jaffray Companies
PKE,Park Electrochemical Corp
PLAB,Photronics Inc
PLAY,Dave & Buster's Ente
