Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMWD,"Amer Woodmark Cp",79.86,-0.64,-0.80%,80.29,80.59,79.28,67024,"16:01 ET"
AMZN,"Amazon.com Inc",1869.67,-0.63,-0.03%,1864,1876,1859,2768292,"16:19 ET"
ANAB,"Anaptysbio Inc",69.64,-1.36,-1.92%,70.84,71.53,69.15,217886,"16:07 ET"
ANAT,"Amer Natl Insurance",115.46,-0.25,-0.22%,115.37,115.97,114.94,31346,"16:01 ET"
ANDE,"Andersons Inc",27.46,0,0.00%,27.4,27.55,27.16,85451,"16:01 ET"
ANGI,"Homeservices Inc",14.52,-0.58,-3.84%,15.03,15.13,14.5,827056,"16:13 ET"
ANIK,"Anika Therapeutics",39.77,-0.61,-1.51%,40.41,40.41,39.55,120895,"16:01 ET"
ANSS,"Ansys Inc",197.13,-1.34,-0.68%,198.35,198.78,195.67,272655,"16:11 ET"
AOBC,"American Outdoor Brands Corp",9.03,0.1,+1.12%,8.99,9.08,8.91,623716,"16:15 ET"
APLS,"Apellis Pharmaceuticals Inc",21.17,-0.22,-1.03%,21.29,21.54,21.07,151116,"16:01 ET"
APOG,"Apogee Entrpr Inc",38.8,-0.07,-0.18%,38.7,39.2,38.54,110648,"16:07 ET"
AQXP,"Aquinox Pharmaceutic",2.3,0.03,+1.32%,2.28,2.31,2.24,11693,"16:11 ET"
ARAV,"Aravive Inc",5.95,0.13,+2.23%,5.8,5.95,5.76,18856,"16:01 ET"
ARCB,"Arcbest Corp",26.84,-0.54,-1.97%,27.29,27.53,26.81,131579,"16:07 ET"
AREX,"Approach Res. Inc",0.22,-0.01,-4.64%,0.23,0.23,0.21,840134,"16:01 ET"
ARGX,"Argenx Se Ads",124.51,-1.43,-1.14%,122.57,124.52,121.57,194894,"16:01 ET"
ARLP,"Alliance Resource Pt",16.95,0,0.00%,17.05,17.1,16.87,367471,"16:01 ET"
ARNA,"Arena Pharmaceuticals",55.32,-1.18,-2.09%,56.64,56.68,54.72,494176,"16:07 ET"
ARQL,"Arqule Inc",8.2,1.91,+30.37%,9.01,9.1,8.02,34227063,"16:19 ET"
ARRY,"Array Biopharma Inc",29.59,0.17,+0.58%,29.54,29.74,29.06,1697192,"16:03 ET"
ARWR,"Arrowhead Pharma",25.82,-0.31,-1.19%,26.1,26.1,25.69,1601696,"16:11 ET"
ASML,"Asml Hldg NY Reg",192.02,-5.91,-2.99%,191.55,193.13,190.5,463114,"16:01 ET"
ASNA,"Ascena Retail Group",0.77,-0.05,-6.09%,0.83,0.83,0.76,2581625,"16:11 ET"
ASND,"Ascendis Pharma Ads",120.89,-1.48,-1.21%,122.54,123.46,119.77,261157,"16:10 ET"
ASTE,"Astec Inds Inc",29.97,-0.7,-2.28%,30.73,30.73,29.57,137592,"16:01 ET"
ATNI,"Atn International",62.38,0.17,+0.27%,62.54,63.06,61.71,55989,"16:11 ET"
ATNX,"Athenex Inc",17.8,0.49,+2.83%,17.4,17.94,17.25,732258,"16:14 ET"
ATRA,"Atara Biotherap",21.85,-0.2,-0.91%,22.1,22.18,21.54,393398,"16:10 ET"
ATRI,"Atrion Corp",878.02,3.22,+0.37%,873.9,884.35,870.74,58322,"16:07 ET"
ATSG,"Air Transport",23.44,-0.25,-1.06%,23.59,23.76,23.37,230640,"16:01 ET"
ATVI,"Activision Blizzard",45.62,-0.43,-0.93%,45.8,45.96,45.12,4581966,"16:13 ET"
AUB,"Atlantic Union Bancshares Corp.",34.77,0.28,+0.81%,34.44,34.91,33.96,294474,"16:01 ET"
AVAV,"Aerovironment Inc",62.55,-1.07,-1.68%,63.3,63.63,62.42,151176,"16:11 ET"
AVEO,"Aveo Pharmaceuticals",0.7,-0.01,-1.56%,0.72,0.74,0.69,1446009,"16:09 ET"
AVGO,"Broadcom Ltd",265.93,-15.68,-5.57%,258.11,268.09,257.47,9905745,"16:19 ET"
AVRO,"Avrobio Inc",13.54,-0.29,-2.10%,13.71,13.82,13.31,114150,"16:01 ET"
AVT,"Avnet Inc",43.34,-1.08,-2.43%,44.28,44.28,43.26,488992,"16:10 ET"
AXAS,"Abraxas Petro Corp",1.18,0.11,+10.28%,1.08,1.2,1.05,1590220,"16:13 ET"
AXDX,"Accelerate Diagnosti",19.74,-0.15,-0.75%,19.93,20,19.37,91701,"16:01 ET"
AXGN,"Axogen Inc",20.25,0.16,+0.80%,20.06,20.44,19.8,252117,"16:01 ET"
AXGT,"Axovant Sciences Ltd",5.12,0.27,+5.57%,4.81,5.45,4.8,714192,"16:01 ET"
AY,"Atlantica Yield Plc",22.49,0.28,+1.26%,22.25,22.56,22.25,461661,"16:10 ET"
AZPN,"Aspen Technology",120.81,-1.91,-1.56%,122.41,122.54,120.42,321599,"16:10 ET"
BABY,"Natus Medical Inc",23.97,-0.62,-2.52%,24.48,24.57,23.96,98888,"16:01 ET"
BANF,"Bancfirst Corp",57.32,-0.24,-0.42%,57.54,57.75,57.14,51206,"16:01 ET"
BANR,"Banner Corp",52.21,-0.22,-0.42%,52.47,52.53,51.78,110757,"16:01 ET"
BATRK,"Liberty Braves CS C",26.9,-0.14,-0.52%,26.97,27.17,26.78,28649,"16:01 ET"
BBBY,"Bed Bath & Beyond",12.09,-0.2,-1.63%,12.3,12.31,12.07,3497536,"16:11 ET"
BCOM,"B Communications Ltd",1.6,0.02,+1.27%,1.66,1.66,1.55,5208,"16:01 ET"
BCOR,"Blucora Inc",31.75,0.05,+0.16%,31.5,31.83,31.4,168538,"16:11 ET"
BCPC,"Balchem Cp",96.6,-1.2,-1.23%,97.79,97.97,96.41,89108,"16:11 ET"
