Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WTFC,"Wintrust Finl Corp",71.83,-0.52,-0.72%,73.35,71.62,434905,"16:07 ET"
WTR,"Aqua America",40.8,-0.32,-0.78%,41.4,40.58,753397,"16:02 ET"
WW,"Weight Watchers International Inc",21.1,0.76,+3.74%,21.48,20.28,1622112,"16:01 ET"
WWD,"Woodward Inc",115.41,0.79,+0.69%,115.81,113.63,299725,"16:06 ET"
WWE,"World Wrestling Entertainment",75.55,2.57,+3.52%,76.26,72.01,1115489,"16:08 ET"
WYND,"Wyndham Destinations Inc",42.87,0.4,+0.94%,43.04,42.37,381749,"16:02 ET"
X,"United States Steel Corp",14.27,0.52,+3.78%,14.28,13.76,8420050,"16:09 ET"
XPO,"Xpo Logistics Inc",57.49,1.46,+2.61%,57.62,56.4,631418,"16:01 ET"
Y,"Alleghany Corp",687,0.20000000000005,+0.03%,690.05,679.23,135355,"16:02 ET"
YELP,"Yelp Inc",32.34,0.36,+1.13%,32.44,31.97,548746,"16:01 ET"
ZBRA,"Zebra Technologies",194,0.37,+0.19%,194.58,191.33,482207,"16:06 ET"
"Downloaded from Barchart.com as of 06-13-2019 03:35pm CDT"
