Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MET,"Metlife Inc",48.51,0.09,+0.19%,48.72,48.25,3276305,"16:08 ET"
MMM,"3M Company",168.85,-0.16,-0.09%,169.9,167.87,1996866,"16:06 ET"
MO,"Altria Group",51.21,-0.38,-0.74%,51.43,50.68,3814201,"16:07 ET"
MRK,"Merck & Company",82.9,-0.81,-0.97%,84.18,82.53,9237312,"16:09 ET"
MS,"Morgan Stanley",42.95,0.33,+0.77%,43.22,42.54,7489345,"16:09 ET"
MSFT,"Microsoft Corp",132.32,0.82999999999998,+0.63%,132.67,131.56,17084397,"16:15 ET"
NEE,"Nextera Energy",204.77,0.22,+0.11%,205.5,203.25,1690505,"16:06 ET"
NFLX,"Netflix Inc",343.5,-2.06,-0.60%,348.5,339.25,6185007,"16:09 ET"
NKE,"Nike Inc",83.61,0.98,+1.19%,83.92,83.04,3359671,"16:09 ET"
NVDA,"Nvidia Corp",148.26,2.06,+1.41%,149,146.38,7333126,"16:09 ET"
ORCL,"Oracle Corp",53.84,0.22,+0.41%,53.98,53.44,11070491,"16:09 ET"
OXY,"Occidental Petroleum Corp",49.73,0.94,+1.93%,49.8,49.13,7996366,06/13/19
PEP,"Pepsico Inc",132.94,-0.2,-0.15%,133.79,131.85,2711432,"16:06 ET"
PFE,"Pfizer Inc",42.5,-0.58,-1.35%,43.14,42.37,13686323,"16:09 ET"
PG,"Procter & Gamble Company",110.91,1.23,+1.12%,110.95,109.86,5928758,"16:06 ET"
PM,"Philip Morris International Inc",77.59,0.38,+0.49%,77.78,77.07,3508103,"16:06 ET"
PYPL,"Paypal Holdings",115.72,1.22,+1.07%,115.82,114.59,4048486,"16:06 ET"
QCOM,"Qualcomm Inc",69.93,0.34,+0.49%,70.49,69.38,6726011,"16:15 ET"
RTN,"Raytheon Company",177.12,0.12,+0.07%,177.51,170.26,3675708,"16:09 ET"
SBUX,"Starbucks Corp",83.35,0.42,+0.51%,84.05,83.02,7118442,"16:09 ET"
SLB,"Schlumberger N.V.",36.79,1.21,+3.40%,36.96,35.92,14238723,"16:09 ET"
SO,"Southern Company",55.15,0,0.00%,55.27,54.68,3442620,"16:06 ET"
SPG,"Simon Property Group",163.82,1.27,+0.78%,163.82,161.88,995872,"16:09 ET"
T,"AT&T Inc",32.29,0.11,+0.34%,32.33,32.12,16649938,"16:09 ET"
TGT,"Target Corp",88.3,0.039999999999992,+0.05%,89.15,87.97,3186353,06/13/19
TXN,"Texas Instruments",111.18,0.84,+0.76%,111.36,110.32,3112245,"16:15 ET"
UNH,"Unitedhealth Group Inc",244.96,0.46,+0.19%,245.34,243.12,2944469,"16:09 ET"
UNP,"Union Pacific Corp",167.15,-4.08,-2.38%,170.23,166.39,4208257,"16:06 ET"
UPS,"United Parcel Service",102.02,1.62,+1.61%,102.29,100.96,2918273,06/13/19
USB,"U.S. Bancorp",52.69,0,0.00%,53.08,52.5,4016157,"16:06 ET"
UTX,"United Technologies Corp",124.81,0.74,+0.60%,124.96,122.92,4593267,"16:06 ET"
V,"Visa Inc",169.35,-2.24,-1.31%,172.2,168.72,6846397,"16:08 ET"
VZ,"Verizon Communications Inc",57.62,0.26,+0.45%,57.74,57.37,7193807,"16:09 ET"
WBA,"Walgreens Boots Alliance",52.89,0.77,+1.48%,53.02,52.3,3293568,"16:13 ET"
WFC,"Wells Fargo & Company",45.29,0.38,+0.85%,45.63,44.92,15539383,"16:06 ET"
WMT,"Wal-Mart Stores",108.65,-0.16999999999999,-0.16%,109.58,108.17,5114852,06/13/19
XOM,"Exxon Mobil Corp",74.68,0.65,+0.88%,75.17,74.38,8908625,"16:07 ET"
"Downloaded from Barchart.com as of 06-13-2019 03:37pm CDT"
